Rank,School District,Score,Expenditures Per Pupil,Income
1,Rothsay Public School District,0.05,"11,687.00","80,625.00"
2,Alden-Conger Public School District,0.08,"13,019.00","73,603.00"
3,Leroy-Ostrander Public Schools,0.08,"15,233.00","61,964.00"
4,Goodhue Public School District,0.13,"10,325.00","87,723.00"
5,Lancaster Public School District,0.21,"15,620.00","59,844.00"
6,Spring Lake Park Public Schools,0.23,"11,346.00","82,611.00"
7,South St. Paul Public School Dist,0.52,"13,284.00","71,900.00"
8,Brooklyn Center School District,0.73,"14,787.00","64,890.00"
9,Comfrey Public School District,0.8,"16,360.00","56,667.00"
10,Annandale Public School District,1,"11,970.00","79,883.00"
11,Le Sueur-Henderson School District,1.35,"12,438.00","75,754.00"
12,Cedar Mountain School District,1.4,"15,007.00","64,205.00"
13,Lake Crystal-Wellcome Memorial,1.44,"12,141.00","77,250.00"
14,Badger Public School District,1.48,"16,383.00","57,031.00"
15,Stewartville Public School District,1.51,"10,507.00","85,791.00"
16,Cromwell-Wright Public Schools,1.58,"13,807.00","68,393.00"
17,Fridley Public School District,1.66,"14,914.00","64,878.00"
18,Owatonna Public School District,1.76,"12,696.00","74,108.00"
19,Wrenshall Public School District,1.83,"13,022.00","74,944.00"
20,Hawley Public School District,1.95,"10,533.00","88,107.00"
21,Hill City Public School District,2.14,"17,504.00","51,607.00"
22,Janesville-Waldorf-Pemberton,2.33,"13,267.00","70,703.00"
23,Sartell-St. Stephen School District,2.43,"11,028.00","82,396.00"
24,Pine Island Public School District,2.44,"10,091.00","90,781.00"
25,Ellsworth Public School District,2.6,"15,293.00","59,861.00"
26,Holdingford Public School District,2.87,"10,748.00","83,553.00"
27,Carlton Public School District,2.94,"13,892.00","71,161.00"
28,Maple River School District,3.07,"12,869.00","72,266.00"
29,Marshall County Central Schools,3.17,"13,842.00","67,083.00"
30,Red Lake Falls Public School District,3.25,"15,354.00","59,083.00"
31,Lake Park Audubon School District,3.28,"11,338.00","80,163.00"
32,Foley Public School District,3.28,"11,716.00","82,840.00"
33,Truman Public School District,3.42,"14,576.00","63,050.00"
34,Kenyon-Wanamingo School District,3.58,"13,244.00","75,017.00"
35,Parkers Prairie Public School District,3.63,"14,169.00","70,192.00"
36,Red Wing Public School District,3.65,"14,234.00","64,678.00"
37,Lake Superior Public School District,3.72,"13,323.00","69,418.00"
38,Chatfield Public Schools,3.72,"11,107.00","81,061.00"
39,Rocori Public School District,3.74,"11,673.00","83,393.00"
40,Yellow Medicine East,3.78,"14,724.00","62,013.00"
41,Mcgregor Public School District,3.83,"16,850.00","50,809.00"
42,Littlefork-Big Falls School District,4.05,"17,117.00","55,000.00"
43,Murray County Central School District,4.06,"13,695.00","67,222.00"
44,Howard Lake-Waverly-Winsted,4.15,"12,730.00","78,125.00"
45,Alexandria Public School District,4.19,"13,103.00","70,240.00"
46,Cannon Falls Public School District,4.25,"11,750.00","77,309.00"
47,Dawson-Boyd Public School District,4.34,"13,589.00","67,578.00"
48,Ivanhoe Public School District,4.35,"15,315.00","58,500.00"
49,Belle Plaine Public School District,4.48,"10,134.00","92,003.00"
50,Dassel-Cokato Public Schools,4.56,"12,131.00","75,088.00"
51,Paynesville Public School District,4.67,"13,100.00","69,914.00"
52,Lakeview School District,5.12,"12,721.00","78,864.00"
53,Proctor Public School District,5.19,"12,909.00","77,925.00"
54,Columbia Heights Public School District,5.19,"14,787.00","68,056.00"
55,RTR Public Schools,5.67,"13,349.00","67,895.00"
56,Upsala Public School District,5.73,"12,717.00","71,179.00"
57,Princeton Public School District,5.88,"11,645.00","85,056.00"
58,Pillager Public School District,5.89,"11,599.00","76,935.00"
59,Kimball Public School District,5.96,"11,822.00","84,183.00"
60,Faribault Public School District,6,"15,847.00","63,061.00"
61,Cleveland Public School District,6.05,"11,156.00","87,750.00"
62,Minnewaska School District,6.27,"13,245.00","68,019.00"
63,Zumbrota-Mazeppa School District,6.29,"12,701.00","79,796.00"
64,Medford Public School District,6.44,"10,761.00","80,947.00"
65,Campbell-Tintah Public Schools,6.68,"15,434.00","65,714.00"
66,Hermantown Public School District,6.69,"10,065.00","84,429.00"
67,Clearbrook-Gonvick School District,6.86,"15,242.00","57,102.00"
68,La Crescent-Hokah School District,7.06,"12,091.00","73,524.00"
69,Windom Public School District,7.08,"14,502.00","60,833.00"
70,Blooming Prairie Public School District,7.09,"11,514.00","76,534.00"
71,Ogilvie Public School District,7.21,"13,548.00","65,756.00"
72,Heron Lake-Okabena School District,7.38,"13,697.00","75,337.00"
73,Lester Prairie Public School District,7.42,"10,062.00","83,929.00"
74,Willow River Public School District,7.46,"13,147.00","67,688.00"
75,Albany Public School District,7.58,"11,810.00","85,396.00"
76,Maple Lake Public School District,7.73,"13,123.00","78,603.00"
77,Triton School District,7.79,"11,417.00","76,542.00"
78,Fertile-Beltrami School District,7.9,"12,980.00","68,250.00"
79,Cambridge-Isanti Public School District,7.93,"10,990.00","78,687.00"
80,Waterville-Elysian-Morristown,8.04,"12,761.00","80,729.00"
81,Maccray School District,8.08,"14,162.00","61,910.00"
82,Goodridge Public School District,8.21,"15,004.00","57,396.00"
83,Waseca Public School District,8.4,"13,598.00","64,652.00"
84,Warren-Alvarado-Oslo School District,8.51,"13,961.00","62,660.00"
85,Floodwood Public School District,8.65,"16,179.00","50,909.00"
86,Mesabi East School District,8.65,"14,939.00","57,425.00"
87,Hills-Beaver Creek School District,8.66,"11,848.00","73,664.00"
88,New Ulm Public School District,8.73,"13,005.00","67,533.00"
89,St. Cloud Public School District,8.75,"14,433.00","60,011.00"
90,Ortonville Public Schools,8.77,"14,898.00","57,557.00"
91,Eden Valley-Watkins School District,8.87,"11,356.00","76,094.00"
92,Renville County West Schools,9.07,"13,326.00","65,600.00"
93,St. Louis County School District,9.13,"16,554.00","61,569.00"
94,Willmar Public School District,9.18,"14,219.00","60,829.00"
95,Tri-City United School District,9.19,"11,668.00","74,229.00"
96,Bemidji Public School District,9.22,"14,205.00","60,875.00"
97,Hayfield Public School District,9.25,"12,063.00","72,115.00"
98,Lake City Public School District,9.27,"11,994.00","72,461.00"
99,Underwood Public School District,9.3,"11,041.00","77,444.00"
100,Lewiston-Altura Public School District,9.37,"12,284.00","84,180.00"
101,Walker-Hackensack-Akeley Schlool District,9.45,"15,238.00","55,282.00"
102,Kasson-Mantorville School District,9.5,"10,021.00","96,161.00"
103,Waubun-Ogema-White Earth Schools,9.54,"15,696.00","52,813.00"
104,Pine City Public School District,9.55,"13,672.00","63,445.00"
105,Central Public School District,9.57,"11,687.00","87,455.00"
106,Luverne Public School District,9.67,"12,945.00","67,179.00"
107,St. Peter Public School District,9.71,"12,933.00","67,210.00"
108,Madelia Public School District,10.08,"13,138.00","65,875.00"
109,Moorhead Area Public Schools,10.14,"13,293.00","65,016.00"
110,Butterfield Public School District,10.29,"14,298.00","59,625.00"
111,Fulda Public School District,10.3,"14,917.00","71,000.00"
112,Richfield Public School District,10.34,"14,823.00","71,525.00"
113,Detroit Lakes Public School District,10.68,"13,387.00","64,140.00"
114,Laporte Public School District,10.69,"13,676.00","62,614.00"
115,Barnesville Public School District,10.77,"11,130.00","75,938.00"
116,Westbrook-Walnut Grove Schools,11.09,"14,658.00","57,165.00"
117,Dover-Eyota Public School District,11.1,"10,520.00","78,909.00"
118,Grand Meadow Public School District,11.11,"12,737.00","67,250.00"
119,St. Charles Public School District,11.14,"11,359.00","90,299.00"
120,St. Clair Public School District,11.23,"10,952.00","92,500.00"
121,Greenway Public School District,11.25,"14,612.00","57,297.00"
122,A.C.G.C. Public School District,11.41,"12,963.00","65,846.00"
123,Nicollet Public School District,11.51,"12,842.00","82,768.00"
124,Winona Area Public School District,11.69,"15,068.00","54,590.00"
125,Brandon-Evansville Public Schools,11.85,"11,368.00","73,917.00"
126,St. Anthony-New Brighton Schools,11.87,"12,436.00","85,156.00"
127,Tracy Area Public School District,12.17,"13,568.00","62,128.00"
128,Red Lake County Central Public Schools,12.42,"15,286.00","70,568.00"
129,West Central Area,12.48,"14,235.00","58,406.00"
130,Dilworth-Glyndon-Felton,12.5,"10,946.00","75,673.00"
131,Sleepy Eye Public School District,12.67,"13,505.00","62,103.00"
132,Sibley East School District,12.82,"12,552.00","67,004.00"
133,Albert Lea Public School District,12.91,"14,580.00","56,288.00"
134,Sauk Centre Public School District,12.97,"12,694.00","66,157.00"
135,Glencoe-Silver Lake School District,13.03,"12,438.00","67,457.00"
136,Inver Grove Heights Schools,13.04,"13,359.00","81,134.00"
137,Perham-Dent Public School District,13.14,"12,509.00","67,005.00"
138,Rushford-Peterson Public Schools,13.2,"12,423.00","67,414.00"
139,Climax-Shelly Public Schools,13.36,"14,141.00","58,269.00"
140,Mountain Iron-Buhl School District,13.37,"14,025.00","58,875.00"
141,Melrose Public School District,13.37,"12,602.00","66,353.00"
142,Norman County East School District,13.42,"16,956.00","62,500.00"
143,Fillmore Central,13.42,"12,810.00","65,227.00"
144,Grand Rapids Public School District,13.45,"14,027.00","58,807.00"
145,Robbinsdale Public School District,13.77,"14,745.00","74,374.00"
146,Milaca Public School District,13.93,"12,225.00","67,935.00"
147,Adrian Public School District,13.97,"13,128.00","63,164.00"
148,Long Prairie-Grey Eagle School District,14.31,"14,102.00","57,802.00"
149,Mankato Public School District,14.32,"12,835.00","64,456.00"
150,Barnum Public School District,14.46,"11,278.00","72,537.00"
151,Roseau Public School District,14.47,"11,827.00","69,643.00"
152,Litchfield Public School District,14.48,"12,947.00","63,750.00"
153,GFW Public Schools,14.52,"13,830.00","59,079.00"
154,Frazee-Vergas Public School District,14.68,"13,192.00","62,321.00"
155,Tri-County School District,14.83,"14,892.00","53,281.00"
156,Sauk Rapids-Rice Public Schools,15.13,"12,236.00","67,028.00"
157,Battle Lake Public School District,15.26,"11,984.00","68,261.00"
158,Mountain Lake Public Schools,15.38,"13,853.00","58,348.00"
159,Hancock Public School District,15.52,"11,380.00","71,250.00"
160,Clinton-Graceville-Beardsley,15.63,"13,421.00","60,446.00"
161,East Grand Forks Public School District,15.83,"11,371.00","71,071.00"
162,Glenville-Emmons School District,15.87,"16,648.00","65,865.00"
163,Spring Grove School District,15.88,"14,207.00","56,136.00"
164,Southland Public School District,15.96,"13,964.00","80,034.00"
165,Menahga Public School District,16.02,"13,510.00","59,700.00"
166,Rochester Public School District,16.2,"13,420.00","83,063.00"
167,Lake Of The Woods School District,16.22,"13,845.00","57,798.00"
168,Hendricks Public School District,16.24,"15,960.00","46,667.00"
169,New London-Spicer School District,16.26,"12,803.00","86,343.00"
170,Pelican Rapids Public Schools,16.29,"11,288.00","71,186.00"
171,Austin Public School District,16.3,"14,097.00","56,416.00"
172,Lac Qui Parle Valley Schools,16.42,"14,618.00","53,594.00"
173,Mabel-Canton Public School District,16.48,"12,969.00","62,212.00"
174,Deer River Public School District,16.5,"17,581.00","61,406.00"
175,North Branch Area Public Schools,16.53,"11,672.00","92,481.00"
176,Edgerton Public School District,16.71,"12,864.00","62,604.00"
177,Roseville Public School District,16.86,"14,334.00","78,729.00"
178,Hibbing Public School District,17.01,"15,179.00","50,221.00"
179,Pierz Public School District,17.04,"11,446.00","69,821.00"
180,Brainerd Public School District,17.1,"13,036.00","61,424.00"
181,West St. Paul-Mendota Heights-Eagan,17.22,"14,548.00","77,854.00"
182,Kingsland Public School District,17.25,"11,522.00","69,271.00"
183,Swanville Public School District,17.47,"11,036.00","71,667.00"
184,Montevideo Public School District,17.48,"13,460.00","58,926.00"
185,Nashwauk-Keewatin School District,17.73,"13,755.00","57,197.00"
186,Northland Community Schools,17.77,"20,050.00","49,337.00"
187,Ulen-Hitterdal Public School District,17.84,"14,323.00","54,130.00"
188,Nevis Public School District,17.86,"11,422.00","69,362.00"
189,North St. Paul-Maplewood Oakdale,17.96,"14,450.00","78,898.00"
190,Warroad Public School District,17.98,"13,280.00","59,515.00"
191,Martin County West School District,18,"13,246.00","59,677.00"
192,Buffalo-Hanover-Montrose Public School District,18.02,"12,549.00","88,927.00"
193,Wabasha-Kellogg School District,18.09,"11,818.00","67,120.00"
194,Wheaton Area Public School District,18.35,"14,760.00","51,477.00"
195,Ashby Public School District,18.51,"11,451.00","68,750.00"
196,Chisholm Public School District,18.53,"14,422.00","53,125.00"
197,Lynd Public School District,18.82,"15,642.00","73,243.00"
198,Esko Public School District,18.85,"9,789.00","104,022.00"
199,Duluth Public School District,18.87,"12,822.00","61,291.00"
200,Granada Huntley East Chain,18.93,"15,249.00","75,385.00"
201,Ely Public School District,19.08,"14,540.00","52,113.00"
202,Park Rapids Public School District,19.17,"12,751.00","61,449.00"
203,Bird Island-Olivia-Lake Lillian,19.36,"12,632.00","61,942.00"
204,Wabasso Public School District,19.57,"12,479.00","62,596.00"
205,Pine Point Public School District,19.81,"22,736.00","36,667.00"
206,International Falls School District,19.83,"14,079.00","54,003.00"
207,Red Rock Central School District,19.85,"13,508.00","56,989.00"
208,Lake Benton Public School District,20.03,"18,971.00","56,607.00"
209,Onamia Public School District,20.1,"19,536.00","53,690.00"
210,Minneota Public School District,20.3,"11,623.00","66,576.00"
211,Cass Lake-Bena Public Schools,20.31,"19,548.00","53,778.00"
212,NRHEG School District,20.39,"11,020.00","69,679.00"
213,Plainview-Elgin-Millville,20.47,"10,002.00","74,974.00"
214,St. James Public School District,20.47,"13,512.00","56,528.00"
215,Crosby-Ironton Public School District,20.59,"13,706.00","55,422.00"
216,Marshall Public School District,20.62,"13,108.00","58,542.00"
217,Royalton Public School District,20.73,"9,911.00","75,268.00"
218,Browns Valley Public School District,20.85,"15,268.00","47,031.00"
219,Redwood Area School District,21.1,"12,829.00","59,667.00"
220,Hutchinson Public School District,21.13,"11,593.00","66,142.00"
221,Springfield Public School District,21.15,"12,798.00","59,795.00"
222,Northfield Public School District,21.15,"13,933.00","83,883.00"
223,St. Paul Public School District,21.29,"17,834.00","63,483.00"
224,Jackson County Central School District,21.36,"12,359.00","61,953.00"
225,Moose Lake Public School District,21.59,"11,698.00","65,263.00"
226,Win-E-Mac School District,21.7,"13,346.00","56,528.00"
227,Ada-Borup Public School District,21.81,"12,756.00","59,545.00"
228,Sebeka Public School District,21.88,"14,411.00","50,799.00"
229,Pequot Lakes Public Schools,21.9,"11,416.00","66,525.00"
230,Staples-Motley School District,21.94,"13,508.00","55,503.00"
231,Verndale Public School District,22.15,"11,975.00","63,409.00"
232,Thief River Falls School District,22.23,"11,603.00","65,307.00"
233,Chisago Lakes School District,22.38,"11,709.00","96,442.00"
234,Chokio-Alberta Public Schools,22.57,"16,410.00","71,875.00"
235,Randolph Public School District,22.59,"10,714.00","101,818.00"
236,Pipestone Area School District,22.67,"13,024.00","57,530.00"
237,Round Lake-Brewster Public Schools,22.67,"10,793.00","69,250.00"
238,Cloquet Public School District,22.7,"13,155.00","56,818.00"
239,Belgrade-Brooten-Elrosa School District,22.84,"11,916.00","63,229.00"
240,Kittson Central School District,23.27,"17,696.00","65,612.00"
241,Becker Public School District,23.32,"11,801.00","96,625.00"
242,United South Central Schools,23.52,"13,600.00","53,895.00"
243,Mahnomen Public School District,23.58,"15,416.00","44,315.00"
244,Rush City Public School District,23.81,"10,829.00","68,257.00"
245,Fosston Public School District,23.89,"13,964.00","51,719.00"
246,Byron Public School District,23.91,"10,214.00","105,385.00"
247,Watertown-Mayer Public School District,24.1,"11,310.00","99,763.00"
248,New York Mills Public School District,24.35,"11,361.00","65,071.00"
249,Benson Public School District,24.4,"12,890.00","57,006.00"
250,Lanesboro Public School District,24.47,"11,295.00","65,333.00"
251,Henning Public School District,24.75,"12,511.00","58,750.00"
252,Breckenridge Public School District,24.8,"13,200.00","55,094.00"
253,Greenbush-Middle River School District,24.82,"18,736.00","61,250.00"
254,Hastings Public School District,25.12,"12,980.00","91,707.00"
255,Fairmont Area School District,25.45,"13,409.00","53,528.00"
256,Hopkins Public School District,25.46,"14,566.00","83,614.00"
257,Little Falls Public School District,25.7,"13,244.00","54,220.00"
258,Isle Public School District,25.82,"14,087.00","49,706.00"
259,Jordan Public School District,25.97,"11,153.00","101,915.00"
260,Rock Ridge Public Schools,26.14,"13,259.00","53,830.00"
261,Centennial Public School District,26.24,"12,262.00","96,278.00"
262,Mounds View Public School District,26.26,"13,288.00","90,899.00"
263,Forest Lake Public School District,26.39,"13,120.00","91,877.00"
264,Delano Public School District,26.5,"11,633.00","99,770.00"
265,Stephen-Argyle Central Schools,26.54,"16,352.00","75,000.00"
266,Browerville Public School District,26.71,"13,426.00","52,549.00"
267,St. Francis Area Schools,26.92,"11,292.00","101,858.00"
268,Morris Area Public Schools,26.96,"11,189.00","64,127.00"
269,Hinckley-Finlayson School District,27.1,"13,225.00","53,328.00"
270,Worthington Public School District,27.18,"12,893.00","55,014.00"
271,Blackduck Public School District,27.28,"14,190.00","48,125.00"
272,Braham Public School District,27.31,"11,209.00","63,770.00"
273,Mora Public School District,28.09,"11,663.00","60,828.00"
274,Crookston Public School District,28.1,"13,198.00","52,760.00"
275,Bagley Public School District,28.11,"12,600.00","55,893.00"
276,Caledonia Public School District,28.13,"11,827.00","59,941.00"
277,Anoka-Hennepin Public School District,28.2,"13,430.00","91,534.00"
278,Buffalo Lk-Hector-Stewart Public School District,28.33,"12,000.00","58,889.00"
279,Bloomington Public School District,28.42,"15,557.00","80,512.00"
280,Burnsville Public School District,28.45,"15,467.00","81,002.00"
281,Cook County Public Schools,28.46,"18,506.00","65,045.00"
282,White Bear Lake School District,29.26,"13,871.00","89,966.00"
283,Shakopee Public School District,29.69,"12,158.00","99,278.00"
284,Monticello Public School District,30.17,"14,848.00","85,480.00"
285,Aitkin Public School District,31.04,"12,772.00","52,910.00"
286,Lyle Public School District,31.22,"12,131.00","56,146.00"
287,Canby Public School District,31.97,"11,467.00","59,107.00"
288,Bertha-Hewitt Public School District,32.07,"12,792.00","52,070.00"
289,Minneapolis Public School District,32.5,"18,090.00","70,099.00"
290,Westonka Public School District,33.44,"12,789.00","98,621.00"
291,Big Lake Public School District,33.62,"12,085.00","102,449.00"
292,Wadena-Deer Creek School District,33.65,"12,985.00","49,934.00"
293,Osakis Public School District,33.88,"10,999.00","60,205.00"
294,South Koochiching School District,34.15,"19,753.00","62,529.00"
295,East Central School District,34.27,"13,378.00","47,430.00"
296,Kelliher Public School District,34.42,"18,447.00","69,583.00"
297,Houston Public School District,34.55,"11,067.00","59,375.00"
298,Farmington Public School District,35.35,"11,407.00","107,241.00"
299,Blue Earth Area Public School,36.17,"11,608.00","55,381.00"
300,Waconia Public School District,36.38,"11,789.00","105,966.00"
301,Elk River School District,36.53,"11,853.00","105,736.00"
302,Kerkhoven-Murdock-Sunburg,37.76,"11,062.00","57,122.00"
303,New Prague Area Schools,37.93,"11,298.00","109,646.00"
304,Pine River-Backus School District,38.4,"12,177.00","50,807.00"
305,St. Louis Park Public School District,39.44,"15,700.00","87,585.00"
306,Osseo Public School District,39.69,"14,717.00","92,931.00"
307,St. Michael-Albertville Schools,40.18,"10,934.00","113,159.00"
308,Herman-Norcross School District,41.76,"19,043.00","71,667.00"
309,Fergus Falls Public School District,42.05,"10,952.00","54,652.00"
310,Red Lake Public School District,42.27,"24,211.00","44,874.00"
311,Rosemount-Apple Valley-Eagan,44.99,"13,182.00","104,763.00"
312,Rockford Public School District,45.48,"13,538.00","103,239.00"
313,Prior Lake-Savage Area Schools,45.75,"11,391.00","114,713.00"
314,South Washington County Schools,46.59,"12,973.00","106,997.00"
315,Eastern Carver County Public School,50.27,"12,752.00","110,770.00"
316,Grygla Public School District,53.78,"21,303.00","68,333.00"
317,Stillwater Area Public Schools,56.35,"13,952.00","108,783.00"
318,Fisher Public School District,58.3,"15,333.00","102,917.00"
319,Milroy Public School District,64.1,"22,846.00","67,550.00"
320,Mahtomedi Public School District,64.42,"12,367.00","122,845.00"
321,Norman County West School District,69.29,"26,174.00","53,750.00"
322,Eden Prairie Public School District,72.59,"13,978.00","120,187.00"
323,Lakeville Public School District,72.78,"13,697.00","121,796.00"
324,Minnetonka Public School District,91.25,"13,584.00","135,514.00"
325,Wayzata Public School District,93.5,"13,766.00","136,157.00"
326,Edina Public School District,99.7,"13,290.00","143,060.00"
327,Orono Public School District,99.82,"14,183.00","138,456.00"
328,Nett Lake Public School District,158.64,"42,304.00","32,455.00"